d,sampling,method,mean_abs_error_over_N
2,direct,mc_standard,0.0059883341494003095
2,direct,mc_symmetrized,0.00821540376985519
2,rejection,mc_standard,0.001100400045186134
2,rejection,mc_symmetrized,0.010140089813112596
3,direct,mc_standard,0.17326060722845327
3,direct,mc_symmetrized,0.2125234132451317
3,rejection,mc_standard,0.2024451330944046
3,rejection,mc_symmetrized,0.20891410799185128
4,direct,mc_standard,0.00646042992339102
4,direct,mc_symmetrized,0.007937980550420387
4,rejection,mc_standard,0.01063333663089605
4,rejection,mc_symmetrized,0.006308736118151859
